neighbourhood,room_type,price
Brighton Beach,Private room,69
Upper West Side,Entire home/apt,185
Harlem,Private room,81
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Private room,349
Greenpoint,Private room,249
Greenpoint,Private room,299
Greenpoint,Private room,179
Jackson Heights,Private room,54
Greenpoint,Private room,599
Clinton Hill,Entire home/apt,110
Bushwick,Entire home/apt,220
Williamsburg,Private room,89
Bedford-Stuyvesant,Entire home/apt,170
Nolita,Entire home/apt,495
Sunnyside,Entire home/apt,80
Chelsea,Entire home/apt,760
Cobble Hill,Private room,98
Bedford-Stuyvesant,Entire home/apt,125
Cypress Hills,Private room,48
Williamsburg,Private room,64
Clinton Hill,Entire home/apt,154
Park Slope,Entire home/apt,139
St. Albans,Private room,75
West Village,Entire home/apt,325
Chelsea,Entire home/apt,195
Harlem,Private room,58
Arrochar,Entire home/apt,250
Arrochar,Private room,50
Arrochar,Entire home/apt,125
Fort Greene,Entire home/apt,70
Upper East Side,Entire home/apt,189
Bedford-Stuyvesant,Entire home/apt,130
West Village,Entire home/apt,145
Financial District,Private room,101
Chelsea,Private room,95
West Village,Entire home/apt,375
Lower East Side,Entire home/apt,153
East Flatbush,Entire home/apt,92
Lower East Side,Private room,80
West Village,Entire home/apt,300
Fort Greene,Entire home/apt,145
East Village,Private room,88
Harlem,Entire home/apt,155
Williamsburg,Entire home/apt,185
Sunnyside,Private room,73
Upper West Side,Entire home/apt,225
Morningside Heights,Private room,85
Crown Heights,Private room,99
Cypress Hills,Private room,48
Theater District,Entire home/apt,200
Upper East Side,Entire home/apt,485
Nolita,Entire home/apt,310
Williamsburg,Entire home/apt,110
Upper West Side,Entire home/apt,109
Upper West Side,Entire home/apt,167
Fort Greene,Entire home/apt,147
Chelsea,Entire home/apt,220
Lower East Side,Entire home/apt,195
Little Italy,Entire home/apt,199
Financial District,Private room,65
Rego Park,Private room,55
Wakefield,Private room,50
Kensington,Private room,60
East Harlem,Private room,99
Harlem,Entire home/apt,130
Williamsburg,Entire home/apt,290
Chelsea,Entire home/apt,350
Crown Heights,Private room,50
Long Island City,Private room,96
Bushwick,Private room,45
Woodside,Private room,85
Bedford-Stuyvesant,Private room,34
East Village,Entire home/apt,250
Williamsburg,Private room,190
Williamsburg,Private room,75
Prospect-Lefferts Gardens,Entire home/apt,93
Bedford-Stuyvesant,Private room,60
Bedford-Stuyvesant,Private room,65
Midtown,Entire home/apt,125
Upper East Side,Entire home/apt,300
Greenwich Village,Entire home/apt,150
Washington Heights,Entire home/apt,56
East Village,Entire home/apt,299
Greenpoint,Private room,60
Fort Greene,Entire home/apt,88
Williamsburg,Private room,60
West Village,Entire home/apt,1300
East Harlem,Private room,200
Harlem,Private room,99
Bushwick,Entire home/apt,110
Clinton Hill,Entire home/apt,135
Upper East Side,Entire home/apt,110
Bedford-Stuyvesant,Entire home/apt,165
Sunset Park,Entire home/apt,127
Prospect Heights,Entire home/apt,402
Harlem,Private room,85
Greenpoint,Private room,75
East Village,Entire home/apt,139
Prospect-Lefferts Gardens,Entire home/apt,70
East Harlem,Private room,50
Astoria,Private room,30
West Village,Entire home/apt,250
Crown Heights,Private room,64
Harlem,Entire home/apt,300
Bedford-Stuyvesant,Entire home/apt,800
Bedford-Stuyvesant,Entire home/apt,100
Crown Heights,Entire home/apt,250
West Village,Entire home/apt,200
Greenpoint,Entire home/apt,140
Harlem,Private room,130
Kensington,Entire home/apt,90
Chinatown,Entire home/apt,90
Bedford-Stuyvesant,Private room,97
Gowanus,Entire home/apt,91
Park Slope,Private room,125
Cypress Hills,Private room,75
East Village,Entire home/apt,180
Williamsburg,Entire home/apt,300
Williamsburg,Entire home/apt,100
Hell's Kitchen,Entire home/apt,175
South Slope,Private room,65
West Village,Entire home/apt,240
East Village,Private room,300
Chelsea,Entire home/apt,385
Bushwick,Private room,47
Crown Heights,Entire home/apt,110
Harlem,Private room,75
Bedford-Stuyvesant,Entire home/apt,100
Hell's Kitchen,Entire home/apt,165
Bedford-Stuyvesant,Entire home/apt,300
Cobble Hill,Entire home/apt,140
Williamsburg,Entire home/apt,120
Fort Greene,Entire home/apt,175
Carroll Gardens,Entire home/apt,275
East Village,Entire home/apt,179
Carroll Gardens,Entire home/apt,189
East Village,Entire home/apt,219
West Village,Entire home/apt,450
SoHo,Entire home/apt,249
Long Island City,Private room,65
Greenpoint,Entire home/apt,250
Chinatown,Entire home/apt,139
Upper West Side,Entire home/apt,209
Crown Heights,Entire home/apt,120
Astoria,Entire home/apt,70
West Village,Private room,90
Hell's Kitchen,Entire home/apt,199
Bushwick,Private room,50
Crown Heights,Entire home/apt,100
Harlem,Entire home/apt,110
Williamsburg,Entire home/apt,157
Greenpoint,Entire home/apt,199
Astoria,Entire home/apt,192
Greenpoint,Entire home/apt,199
Upper West Side,Entire home/apt,150
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Williamsburg,Entire home/apt,105
Williamsburg,Private room,135
Greenpoint,Entire home/apt,199
Williamsburg,Private room,125
Williamsburg,Private room,60
Williamsburg,Entire home/apt,85
Upper West Side,Entire home/apt,300
Williamsburg,Private room,75
Elmhurst,Private room,55
Crown Heights,Private room,44
Bedford-Stuyvesant,Private room,55
Williamsburg,Private room,30
Fort Greene,Private room,35
Williamsburg,Private room,70
Williamsburg,Entire home/apt,130
Bedford-Stuyvesant,Private room,52
Williamsburg,Private room,75
Upper East Side,Private room,190
SoHo,Entire home/apt,250
East New York,Entire home/apt,100
Greenpoint,Entire home/apt,130
Harlem,Private room,140
Flatbush,Private room,75
East Harlem,Entire home/apt,150
East Harlem,Entire home/apt,90
Upper West Side,Entire home/apt,295
Upper West Side,Entire home/apt,150
Williamsburg,Entire home/apt,180
Fort Greene,Private room,135
Bushwick,Private room,65
Upper West Side,Private room,99
Greenpoint,Private room,149
Clifton,Private room,59
Harlem,Private room,75
Harlem,Private room,75
Bedford-Stuyvesant,Private room,75
Upper West Side,Entire home/apt,109
Crown Heights,Entire home/apt,225
East Harlem,Private room,86
Ridgewood,Private room,52
Prospect Heights,Private room,100
Lower East Side,Entire home/apt,99
East Village,Private room,89
Bedford-Stuyvesant,Entire home/apt,135
West Village,Entire home/apt,199
