,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
5051,40612143,Highrise studio with amazing view & amenities!,173581119,Ahmad,Douglas,41.83466,-87.61349,Entire home/apt,65,2,0,,0
5052,40612163,Old Town Triangle Historic 1BD Private Apartment,93167094,Anna,Lincoln Park,41.91581,-87.63804,Entire home/apt,79,1,6,2020-01-05,0
5053,40613040,Kayla’s Place,314703776,Jacqueline,Washington Park,41.78912,-87.62308,Entire home/apt,434,1,2,2020-06-29,179
5054,40619449,New! Loft Apartment-Chicago Disinfected,51946578,Roberto,Hermosa,41.9197,-87.73817,Entire home/apt,49,1,34,2020-09-18,337
5055,40631718,"Lakeview Loft-Vintage Chicago, Modern Amenities",36219944,Charlotte,Lake View,41.93807,-87.66323,Entire home/apt,106,1,89,2020-09-13,310
5056,40641659,Front Room,314605732,GrapefruitF,Riverdale,41.65208,-87.6103,Private room,22,30,0,,89
5057,40650000,Basic,315242858,GrapefruitB,Riverdale,41.65388,-87.61021,Private room,22,30,0,,0
5058,40654753,"Raw & Hip Space, 10 min to DT & McCormick Pl",25003725,Michelle,Lower West Side,41.85604,-87.64975,Private room,132,1,16,2020-03-22,109
5059,40655587,River North Condo off Mag Mile w/ Private Bathroom,79643102,Alexis & Isaiah,Near North Side,41.89646,-87.63136999999998,Private room,50,1,7,2020-03-18,78
5060,40659610,Newly renovated Suite in prime West Town location!,239999497,Jordan,West Town,41.89505,-87.66492,Entire home/apt,71,3,26,2020-09-16,88
5061,40660305,Coach House in Lincoln Park near Diversey Station!,71096437,Emily,Lincoln Park,41.92939000000001,-87.64845,Entire home/apt,69,1,21,2020-09-03,0
5062,40660499,Comfy room across from park,45526374,Anthony,West Town,41.90185,-87.70061,Private room,55,1,0,,0
5063,40661064,Bright Room on a Quiet Boulevard Near Conservatory,15515783,Dan,Humboldt Park,41.89086,-87.71644,Private room,30,32,1,2020-08-22,266
5064,40661231,"Affordable, Bright, Entire Apt w/ Full Kitchen",48793478,Johnathan,Greater Grand Crossing,41.75362,-87.63614,Entire home/apt,55,1,15,2020-09-15,261
5065,40668669,Charming Suite Close to the California Blue line!,65595672,Mackenzie,Logan Square,41.92419,-87.69849,Entire home/apt,54,3,15,2020-09-20,0
5066,40673255,"One bed in Hip Space, 10 min to DT & McCormick Pl",25003725,Michelle,Lower West Side,41.85764,-87.64974000000002,Private room,50,1,8,2020-04-04,109
5067,40674594,"Sunny Vintage Charmer, Close to ""L"" and Park",29473981,Molly,Irving Park,41.95797,-87.70924000000002,Entire home/apt,135,1,29,2020-09-20,120
5068,40675506,1B1B in downtown Chicago,208346579,Nuo,Loop,41.87282,-87.62817,Entire home/apt,100,7,0,,0
5069,40676819,Beautiful 2BR Condo 1 mile from The Loop/Downtown,314518899,Tyla,Near West Side,41.88092,-87.68016999999998,Entire home/apt,56,1,19,2020-06-26,0
5070,40680627,KING BED CORNER UNIT in DOWNTOWN CHICAGO + BALCONY,33127842,Kari,Loop,41.88774,-87.61929,Entire home/apt,155,32,0,,365
5071,40683234,"Huge Home on Subway, Medical District",46820434,Ivan,South Lawndale,41.85481,-87.70286999999998,Entire home/apt,32,10,2,2020-07-02,90
5072,40684076,A comfortable retreat in a vintage city cottage,42764965,Terrence,Greater Grand Crossing,41.76968,-87.61612,Private room,31,2,7,2020-09-04,84
5073,40688686,"Smart Lakeview Studio, walk to Lakefront & Lincoln Park, by Blueground",107434423,Blueground,Lake View,41.94041,-87.6415,Entire home/apt,89,30,0,,364
5074,40688794,"Hip Wicker Park 1BR w/ Pool, Gym, nr. the L & Loop, by Blueground (ID #CHI179)",107434423,Blueground,West Town,41.90468,-87.66808,Entire home/apt,149,30,0,,174
5075,40688798,"2B/2BA Luxury Apartment | Balcony, Rooftop Pool & Gym by ENVITAE | PAID IN/OUT PARKING IN BLDG",36459240,Jim,Near North Side,41.89194000000001,-87.63386,Entire home/apt,220,2,13,2020-09-06,75
5076,40692314,"Dreamy Streeterville 1BR w/ Lake Views, Pool, Deck, Gym, by Blueground",107434423,Blueground,Near North Side,41.89825,-87.61868,Entire home/apt,189,30,0,,143
5077,40705045,Logan Sq *4BDR/3.5BA w/patio&yard* Animal Friendly,1316871,Julie,Avondale,41.93478,-87.70741,Entire home/apt,246,30,7,2020-08-06,151
5078,40705760,Walk to Everything in the Heart of Downtown,218800805,Chicago Condo,Near North Side,41.89234,-87.62045,Entire home/apt,375,2,3,2020-08-30,54
5079,40706386,"In the Heart of Everything Downtown, Stunning!",218800805,Chicago Condo,Near North Side,41.89373,-87.6187,Entire home/apt,425,2,1,2020-01-01,58
5080,40706989,Great Place for Family Fun & Business Travelers!,218800805,Chicago Condo,Near North Side,41.89143,-87.62026999999998,Entire home/apt,302,2,0,,57
5081,40707401,Downtown 2bd/1ba Condo In the Heart of the City!,218800805,Chicago Condo,Near North Side,41.89231,-87.6199,Entire home/apt,250,2,1,2020-08-31,34
5082,40707758,Comfy & Bright 2 bedroom 1 Bath private Condo,74287024,Robbie,South Shore,41.75516,-87.58458,Entire home/apt,65,3,15,2020-06-21,49
5083,40708038,Spacious Condo! Minutes From Shopping & Dinning!!,218800805,Chicago Condo,Near North Side,41.89329,-87.61974000000002,Entire home/apt,302,2,0,,57
5084,40709264,2 Bed 2 Bath Close to train station and downtown,307066703,Hajra,Jefferson Park,41.97023,-87.76720999999998,Entire home/apt,89,7,2,2020-02-16,26
5085,40709530,Cozy place that will remind you of home!,225236545,Tamera,Auburn Gresham,41.7469,-87.66637,Entire home/apt,60,7,1,2019-12-21,177
5086,40721452,Sweet Home Close to all what Logan Square Offers!,33256174,Yessenia,Avondale,41.93368,-87.72174,Entire home/apt,54,3,20,2020-09-20,10
5087,40724113,Skyhigh Penthouse,303968443,Helen,West Town,41.88905,-87.64741,Entire home/apt,250,3,0,,55
5088,40724819,Location Location! Walk to Mag Mile and Navy Pier,218800805,Chicago Condo,Near North Side,41.89353,-87.61983000000002,Entire home/apt,365,2,0,,0
5089,40724943,Quiet Shared Garden Unit in Humboldt Park,76570640,Sabrina,Humboldt Park,41.90604,-87.70824,Private room,25,1,9,2020-08-02,0
5090,40728647,Cute room on the Northside of Chicago.,235962521,Chinonso,Albany Park,41.96187000000001,-87.72938,Private room,59,1,13,2020-06-29,92
5091,40731871,Clean & Cozy private room with single bed!,85726061,Jenny,Belmont Cragin,41.92563,-87.76398,Private room,60,1,0,,0
5092,40733194,Cozy Townhome w/ Garage and Washer/Dryer,43456117,Max,West Town,41.90501,-87.68892,Private room,60,2,2,2020-02-16,180
5093,40737091,Modern and Spacious Logan Square Flat,88180117,Melissa,Logan Square,41.92004,-87.6903,Entire home/apt,123,2,7,2020-04-04,0
5094,40739410,QuietPALACE.8mDownTown 20MidWayFreeStParking/Wiffi,223534020,Fortino,Bridgeport,41.83912,-87.65995,Entire home/apt,133,2,8,2020-09-07,363
5095,40749885,"Enjoy a higher standard of living in this chic 3BD, fast wifi",8534462,Barsala,Near North Side,41.88824,-87.63416,Entire home/apt,734,2,0,,1
5096,40750606,COZY NOOK in the heart of CHICAGO,316440530,Lavinia,West Ridge,41.9878,-87.69405,Entire home/apt,51,3,9,2020-08-23,132
5097,40753273,**W*O*W** Stunning Condo in the Heart of the City!,218800805,Chicago Condo,Near North Side,41.8942,-87.61757,Private room,48,25,0,,0
5098,40753873,The Monticello In Avondale/Logan Sq.  4BR/2BA/PK!,14009223,Kevin,Avondale,41.93779,-87.71905,Entire home/apt,528,3,7,2020-09-06,118
