,name,latitude,longitude,price,minimum_nights
21176,Sunny Ditmas Park Carriage House (Events Listing),40.64335,-73.96745,1000,1
21220,5* Brand New Luxury Apartment with Backyard Oasis,40.7843,-73.98262,995,4
21241,Private Lrg bedroom in a convrtable 2 Bed Apt.,40.63845,-74.02649,800,1
21369,Cozy private room in Bedstuy,40.6932,-73.95519,900,1
21821,The Otheroom Bar/Event/Filming Space -read details,40.73571,-74.0078,4000,1
21955,Ultimate 50th Floor Downtown Penthouse  - 4000SqFt,40.72318,-74.00223000000001,2250,2
22069,Manhattan Hotel Room,40.76305,-73.97841,800,1
22353,Victorian Film location,40.639520000000005,-74.0973,5000,1
22373,West Chelsea Studios - Penthouse 12,40.749320000000004,-74.00333,2800,1
22407,4000 SqFt Luxury Penthouse  - Downtown NYC,40.72207,-74.00232,2250,2
22472,New Years EVE in NY! Magnificent Private Penthouse,40.70678,-73.80613000000001,1000,2
22586,Gimme Shelter,40.7239,-73.99678,850,30
22635,Prestige Townhouse 5B 3.5bath East Central Park,40.76482,-73.96061,1475,1
22976,"Private bedroom, Queenbed on suite bath and closet",40.80141,-73.94341,2000,6
22992,"Modern Townhouse for Photo, Film &  Daytime Events",40.77978,-73.97598,2900,1
23149,Brownstone in Clinton Hill Brooklyn,40.68499,-73.96524000000001,825,3
23336,"Spacious, Family-Friendly Cobble Hill townhouse",40.68333,-73.99802,800,3
23396,Magnificent Lakeview Home on Kissena Park in NYC,40.74982,-73.8061,1500,3
23411,MODERN GARDEN 1BR IN NEWLY RENOVATED TOWNHOUSE,40.68378,-73.95591999999999,1067,2
23486,4 Bed 3.5 Bath in Manhattan,40.73983,-74.00586,1599,30
23545,1BR/1BA in 2BR/2BA Flushing,40.767959999999995,-73.81732,1000,1
23584,Beautiful Private Townhouse- Heart of Manhattan,40.75488,-73.97134,1200,7
23624,"Large, Private Carriage House in West Village",40.73444,-73.99967,950,3
23649,NYC Home Away from Home (Triplex),40.79343,-73.97274,800,7
23694,NYC Hotel (Enjoy top tier membership benefits),40.76347,-73.97800000000001,1000,1
23865,Oceanfront vacation home on Rockaway Beach,40.58781,-73.79316999999999,1500,3
24219,"Luxury House in Safe Area, 30 Min to Time Square",40.71249,-73.85021,900,1
24286,A Cozy Manhattan Sanctuary,40.8016,-73.96409,2500,40
24477,"""The luxury of Comfort""",40.88671,-73.9151,2500,2
24540,Loft-like turn of the century apartment for shoots,40.83405,-73.94565,1000,1
